total_distance,max_speed,min_speed,speed_std,avg_speed,avg_acceleration,max_acceleration,acceleration_std,num_turns,turn_rate,avg_turn_angle,turn_angle_std,avg_bearing_change,avg_altitude,total_altitude_gain,total_altitude_loss,avg_vertical_acceleration,trip_id,start_time,end_time,duration_sec,transport_mode,initial_points,points_removed,pct_points_removed,regular_capped_points,extreme_outliers_removed,speed_cap,trip_summary
2.7973950472776896,7.017390137645305,0.22024022783868066,0.9524364451389467,3.1593976001919675,-0.0010748061365789317,1.0752121686336422,0.13300244418707782,96,2.9752066115702482,18.71135290061166,24.651844118012786,18.71135290061166,0.0,0.0,0.0,0.0,walk_seg1_move1_cleaned.geojson,2011-09-29 12:07:03,2011-09-29 12:41:21,2058.0,walk,673,43,6.389301634472511,8,42,2.78,"
    Trip Summary:
    - Start: 2011-09-29 12:07:03 at 北京大学附属中学, 大泥湾路, 中关村, 中关村街道, 海淀区, 北京市, 100086, 中国
    - End: 2011-09-29 12:41:21 at 中关村南四街, 知春东里社区, 中关村街道, 海淀区, 北京市, 100098, 中国
    - Duration: 0 days 00:34:18
    - Distance: 2.80 km
    - Average Speed: 3.16 km/h
    - Average Bearing Change: 18.71°
    - Max Speed: 7.02 km/h
    - Min Speed: 0.22 km/h
    - Speed Variability: 0.95 km/h
    - Average Acceleration: -0.00 m/s²
    - Max Acceleration: 1.08 m/s²
    - Number of Turns: 96
    - Turn Rate: 2.98 turns/min
    - Average Turn Angle: 18.71°
    - Turn Angle Variability: 24.65°
    - Average Altitude: 0.00 m
    - Total Altitude Gain: 0.00 m
    - Total Altitude Loss: 0.00 m
    - Average Vertical Acceleration: 0.00 m/s²
    - Transport Mode: walk"
1.0608955438307177,10.008,0.07137959178046151,1.6003549517367766,4.728131431076316,0.0010489201065987954,0.9548457964717365,0.13671430807068083,92,8.518518518518517,28.34919955896661,28.231529112088626,28.34919955896661,38.811095954941145,98.69714285714285,119.92428571428567,0.09659997757073822,walk_seg1_move1_cleaned.geojson,2008-11-25 14:43:18,2008-11-25 14:54:24,666.0,walk,290,10,3.4482758620689653,13,9,2.78,"
    Trip Summary:
    - Start: 2008-11-25 14:43:18 at 希格玛大厦, 知春路, 中关村街道, 海淀区, 北京市, 100098, 中国
    - End: 2008-11-25 14:54:24 at 中国科学院大学（中关村校区）, 中关村南四街, 知春东里社区, 中关村街道, 海淀区, 北京市, 100098, 中国
    - Duration: 0 days 00:11:06
    - Distance: 1.06 km
    - Average Speed: 4.73 km/h
    - Average Bearing Change: 28.35°
    - Max Speed: 10.01 km/h
    - Min Speed: 0.07 km/h
    - Speed Variability: 1.60 km/h
    - Average Acceleration: 0.00 m/s²
    - Max Acceleration: 0.95 m/s²
    - Number of Turns: 92
    - Turn Rate: 8.52 turns/min
    - Average Turn Angle: 28.35°
    - Turn Angle Variability: 28.23°
    - Average Altitude: 38.81 m
    - Total Altitude Gain: 98.70 m
    - Total Altitude Loss: 119.92 m
    - Average Vertical Acceleration: 0.10 m/s²
    - Transport Mode: walk"
1.2984700018037574,10.008,0.23983373281315146,2.3260081243866795,3.1211266862727958,0.007621337325032446,1.3022789983685301,0.11692324772059236,99,4.740622505985635,51.960176035544606,48.69185191104707,51.960176035544606,57.257734490923475,111.2810285714285,49.4066285714285,0.02342469812734079,walk_seg2_move1_cleaned.geojson,2008-11-03 11:03:16,2008-11-03 11:24:26,1270.0,walk,187,5,2.6737967914438503,12,4,2.78,"
    Trip Summary:
    - Start: 2008-11-03 11:03:16 at 中关村街道, 海淀区, 北京市, 100098, 中国
    - End: 2008-11-03 11:24:26 at 厦门商务会馆, 迎夏街, 中关村街道, 海淀区, 北京市, 100098, 中国
    - Duration: 0 days 00:21:10
    - Distance: 1.30 km
    - Average Speed: 3.12 km/h
    - Average Bearing Change: 51.96°
    - Max Speed: 10.01 km/h
    - Min Speed: 0.24 km/h
    - Speed Variability: 2.33 km/h
    - Average Acceleration: 0.01 m/s²
    - Max Acceleration: 1.30 m/s²
    - Number of Turns: 99
    - Turn Rate: 4.74 turns/min
    - Average Turn Angle: 51.96°
    - Turn Angle Variability: 48.69°
    - Average Altitude: 57.26 m
    - Total Altitude Gain: 111.28 m
    - Total Altitude Loss: 49.41 m
    - Average Vertical Acceleration: 0.02 m/s²
    - Transport Mode: walk"
6.241616310962354,10.008,0.12300084563506726,2.180203635848762,3.4253042786640333,0.002405027381407288,0.655238722571071,0.06896147902775308,454,4.938361131254532,54.45307295660317,49.73973799969782,54.45307295660317,69.40312817560279,653.0340000000003,697.2953142857147,0.03001461676037128,walk_seg1_move1_cleaned.geojson,2008-11-03 13:00:46,2008-11-03 14:35:06,5660.0,walk,824,29,3.5194174757281553,30,28,2.78,"
    Trip Summary:
    - Start: 2008-11-03 13:00:46 at 中关村南四街, 知春东里社区, 中关村街道, 海淀区, 北京市, 100098, 中国
    - End: 2008-11-03 14:35:06 at 中关村街道, 海淀区, 北京市, 100190, 中国
    - Duration: 0 days 01:34:20
    - Distance: 6.24 km
    - Average Speed: 3.43 km/h
    - Average Bearing Change: 54.45°
    - Max Speed: 10.01 km/h
    - Min Speed: 0.12 km/h
    - Speed Variability: 2.18 km/h
    - Average Acceleration: 0.00 m/s²
    - Max Acceleration: 0.66 m/s²
    - Number of Turns: 454
    - Turn Rate: 4.94 turns/min
    - Average Turn Angle: 54.45°
    - Turn Angle Variability: 49.74°
    - Average Altitude: 69.40 m
    - Total Altitude Gain: 653.03 m
    - Total Altitude Loss: 697.30 m
    - Average Vertical Acceleration: 0.03 m/s²
    - Transport Mode: walk"
2.2097398530197814,21.64922436299819,0.10981409857261606,3.71643224778446,11.763641758147473,0.008809334021292576,4.234981634156536,0.41673539904197354,119,9.754098360655739,20.967539139772867,23.902645601269043,20.967539139772867,0.0,0.0,0.0,0.0,bike_seg1_move1_cleaned.geojson,2011-11-21 01:30:44,2011-11-21 01:43:05,741.0,bike,560,9,1.607142857142857,17,8,6.94,"
    Trip Summary:
    - Start: 2011-11-21 01:30:44 at 中关村东路, 知春东里社区, 中关村街道, 海淀区, 北京市, 100190, 中国
    - End: 2011-11-21 01:43:05 at 中关村地下环廊, 中关村核心区, 海淀街道, 海淀区, 北京市, 100080, 中国
    - Duration: 0 days 00:12:21
    - Distance: 2.21 km
    - Average Speed: 11.76 km/h
    - Average Bearing Change: 20.97°
    - Max Speed: 21.65 km/h
    - Min Speed: 0.11 km/h
    - Speed Variability: 3.72 km/h
    - Average Acceleration: 0.01 m/s²
    - Max Acceleration: 4.23 m/s²
    - Number of Turns: 119
    - Turn Rate: 9.75 turns/min
    - Average Turn Angle: 20.97°
    - Turn Angle Variability: 23.90°
    - Average Altitude: 0.00 m
    - Total Altitude Gain: 0.00 m
    - Total Altitude Loss: 0.00 m
    - Average Vertical Acceleration: 0.00 m/s²
    - Transport Mode: bike"
1.3134355429428575,36.98908230949596,1.5675240878805274,8.6883415718386,12.812955895371465,-0.008701607590646112,1.6138346541373938,0.39966277567810016,33,4.725536992840095,29.84008480772717,43.689629224913844,29.84008480772717,0.0,0.0,0.0,0.0,bus_seg1_move1_cleaned.geojson,2008-09-20 09:52:53,2008-09-20 09:59:53,420.0,bus,119,2,1.680672268907563,4,1,11.11,"
    Trip Summary:
    - Start: 2008-09-20 09:52:53 at 中关村北大街, 海淀街道, 海淀区, 北京市, 100871, 中国
    - End: 2008-09-20 09:59:53 at 北四环西路辅路, 海淀街道, 海淀区, 北京市, 100871, 中国
    - Duration: 0 days 00:07:00
    - Distance: 1.31 km
    - Average Speed: 12.81 km/h
    - Average Bearing Change: 29.84°
    - Max Speed: 36.99 km/h
    - Min Speed: 1.57 km/h
    - Speed Variability: 8.69 km/h
    - Average Acceleration: -0.01 m/s²
    - Max Acceleration: 1.61 m/s²
    - Number of Turns: 33
    - Turn Rate: 4.73 turns/min
    - Average Turn Angle: 29.84°
    - Turn Angle Variability: 43.69°
    - Average Altitude: 0.00 m
    - Total Altitude Gain: 0.00 m
    - Total Altitude Loss: 0.00 m
    - Average Vertical Acceleration: 0.00 m/s²
    - Transport Mode: bus"
19.39330106816277,50.004000000000005,0.48878839893424336,16.955207308765974,23.45095047434006,0.062342951990959995,3.566715798995462,0.516367740713286,64,1.2399095899257346,16.29821217574467,36.76745901349744,16.29821217574467,49.22751043731781,188.19803428571447,179.75072000000017,0.028287641808924114,car_seg1_move1_cleaned.geojson,2008-11-29 07:53:29,2008-11-29 08:45:12,3103.0,car,543,3,0.5524861878453038,93,2,13.89,"
    Trip Summary:
    - Start: 2008-11-29 07:53:29 at 立汤路, 东三旗村, 昌平区, 北京市, 102218, 中国
    - End: 2008-11-29 08:45:12 at 中关村街道, 海淀区, 北京市, 100098, 中国
    - Duration: 0 days 00:51:43
    - Distance: 19.39 km
    - Average Speed: 23.45 km/h
    - Average Bearing Change: 16.30°
    - Max Speed: 50.00 km/h
    - Min Speed: 0.49 km/h
    - Speed Variability: 16.96 km/h
    - Average Acceleration: 0.06 m/s²
    - Max Acceleration: 3.57 m/s²
    - Number of Turns: 64
    - Turn Rate: 1.24 turns/min
    - Average Turn Angle: 16.30°
    - Turn Angle Variability: 36.77°
    - Average Altitude: 49.23 m
    - Total Altitude Gain: 188.20 m
    - Total Altitude Loss: 179.75 m
    - Average Vertical Acceleration: 0.03 m/s²
    - Transport Mode: car"
3.7884750513193515,15.398023581192794,2.0167914579548576,3.263821670527676,10.277240108808764,-0.0027497461371160663,0.022440909900588127,0.017267265814704932,3,0.12211668928086838,13.714271633404724,19.73537213214423,13.714271633404724,46.061224489795976,22.238095238095195,69.66666666666676,0.0013833023803015436,bike_seg1_move1_cleaned.geojson,2008-03-14 09:05:23,2008-03-14 09:29:58,1475.0,bike,23,1,4.3478260869565215,3,0,6.94,"
    Trip Summary:
    - Start: 2008-03-14 09:05:23 at 清华大学, 30, 双清路, 东升镇, 海淀区, 北京市, 100084, 中国
    - End: 2008-03-14 09:29:58 at 燕港石化, 中关村南四街, 知春东里社区, 中关村街道, 海淀区, 北京市, 100098, 中国
    - Duration: 0 days 00:24:35
    - Distance: 3.79 km
    - Average Speed: 10.28 km/h
    - Average Bearing Change: 13.71°
    - Max Speed: 15.40 km/h
    - Min Speed: 2.02 km/h
    - Speed Variability: 3.26 km/h
    - Average Acceleration: -0.00 m/s²
    - Max Acceleration: 0.02 m/s²
    - Number of Turns: 3
    - Turn Rate: 0.12 turns/min
    - Average Turn Angle: 13.71°
    - Turn Angle Variability: 19.74°
    - Average Altitude: 46.06 m
    - Total Altitude Gain: 22.24 m
    - Total Altitude Loss: 69.67 m
    - Average Vertical Acceleration: 0.00 m/s²
    - Transport Mode: bike"
0.8977314529887126,4.839678672393172,0.8968420099594916,1.0783028628581097,4.320466209043397,0.0001255763586332104,0.004599461204810731,0.0026243081535008905,6,0.45627376425855515,33.89894806439582,28.49708095763532,33.89894806439582,54.26739926739936,5.023809523809604,2.666666666666657,0.00015973466621916314,walk_seg1_move1_cleaned.geojson,2008-03-14 10:34:51,2008-03-14 10:48:33,822.0,walk,15,1,6.666666666666667,0,0,2.78,"
    Trip Summary:
    - Start: 2008-03-14 10:34:51 at 麦当劳, 北三环东路, 和平街街道, 朝阳区, 北京市, 100029, 中国
    - End: 2008-03-14 10:48:33 at 北京中医药大学（西校区）, 11号, 北三环东路, 和平街街道, 朝阳区, 北京市, 100029, 中国
    - Duration: 0 days 00:13:42
    - Distance: 0.90 km
    - Average Speed: 4.32 km/h
    - Average Bearing Change: 33.90°
    - Max Speed: 4.84 km/h
    - Min Speed: 0.90 km/h
    - Speed Variability: 1.08 km/h
    - Average Acceleration: 0.00 m/s²
    - Max Acceleration: 0.00 m/s²
    - Number of Turns: 6
    - Turn Rate: 0.46 turns/min
    - Average Turn Angle: 33.90°
    - Turn Angle Variability: 28.50°
    - Average Altitude: 54.27 m
    - Total Altitude Gain: 5.02 m
    - Total Altitude Loss: 2.67 m
    - Average Vertical Acceleration: 0.00 m/s²
    - Transport Mode: walk"
36.10872899589797,39.996,4.0563432486008235,7.830526377270438,36.23687641224005,-0.003973147711854072,2.220888133087969,0.18405727552720266,13,0.15534754033061143,4.595072183863329,17.517446056109446,4.595072183863329,0.0,0.0,0.0,0.0,bus_seg1_move1_cleaned.geojson,2008-01-18 09:05:00,2008-01-18 10:30:38,5138.0,bus,500,19,3.8,321,18,11.11,"
    Trip Summary:
    - Start: 2008-01-18 09:05:00 at 京沈路, 北军营村, 顺义区, 北京市, 中国
    - End: 2008-01-18 10:30:38 at 圣水头村, 密云区, 北京市, 中国
    - Duration: 0 days 01:25:38
    - Distance: 36.11 km
    - Average Speed: 36.24 km/h
    - Average Bearing Change: 4.60°
    - Max Speed: 40.00 km/h
    - Min Speed: 4.06 km/h
    - Speed Variability: 7.83 km/h
    - Average Acceleration: -0.00 m/s²
    - Max Acceleration: 2.22 m/s²
    - Number of Turns: 13
    - Turn Rate: 0.16 turns/min
    - Average Turn Angle: 4.60°
    - Turn Angle Variability: 17.52°
    - Average Altitude: 0.00 m
    - Total Altitude Gain: 0.00 m
    - Total Altitude Loss: 0.00 m
    - Average Vertical Acceleration: 0.00 m/s²
    - Transport Mode: bus"
